LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,TotalPop,FemalePop,MalePop
E08000032,Bradford,E01010679,Bradford 034B,567,296,271
E08000032,Bradford,E01010680,Bradford 019A,497,254,243
E08000032,Bradford,E01010681,Bradford 019B,276,130,146
E08000032,Bradford,E01010682,Bradford 019C,321,146,175
E08000032,Bradford,E01010683,Bradford 017A,415,208,207
E08000032,Bradford,E01010684,Bradford 017B,336,171,165
E08000032,Bradford,E01010685,Bradford 017C,339,154,185
E08000032,Bradford,E01010686,Bradford 017D,329,148,181
E08000032,Bradford,E01010687,Bradford 019D,402,162,240
E08000032,Bradford,E01010688,Bradford 019E,408,197,211
E08000032,Bradford,E01010689,Bradford 019F,383,180,203
E08000032,Bradford,E01010690,Bradford 019G,335,136,199
E08000032,Bradford,E01010691,Bradford 002A,346,160,186
E08000032,Bradford,E01010692,Bradford 001D,272,131,141
E08000032,Bradford,E01010693,Bradford 002B,309,137,172
E08000032,Bradford,E01010694,Bradford 002C,276,105,171
E08000032,Bradford,E01010695,Bradford 002D,211,106,105
E08000032,Bradford,E01010696,Bradford 002E,364,167,197
E08000032,Bradford,E01010697,Bradford 002F,262,118,144
E08000032,Bradford,E01010698,Bradford 002G,317,128,189
E08000032,Bradford,E01010699,Bradford 002H,471,211,260
E08000032,Bradford,E01010700,Bradford 008A,549,251,298
E08000032,Bradford,E01010701,Bradford 008B,519,248,271
E08000032,Bradford,E01010702,Bradford 008C,622,276,346
E08000032,Bradford,E01010703,Bradford 008D,456,203,253
E08000032,Bradford,E01010704,Bradford 008E,318,141,177
E08000032,Bradford,E01010705,Bradford 008F,342,155,187
E08000032,Bradford,E01010706,Bradford 006A,275,120,155
E08000032,Bradford,E01010707,Bradford 006B,340,133,207
E08000032,Bradford,E01010708,Bradford 006C,422,199,223
E08000032,Bradford,E01010709,Bradford 006D,655,286,369
E08000032,Bradford,E01010710,Bradford 008G,470,240,230
E08000032,Bradford,E01010711,Bradford 011A,271,125,146
E08000032,Bradford,E01010712,Bradford 009A,615,281,334
E08000032,Bradford,E01010713,Bradford 011B,455,196,259
E08000032,Bradford,E01010714,Bradford 011C,324,164,160
E08000032,Bradford,E01010715,Bradford 012A,233,113,120
E08000032,Bradford,E01010716,Bradford 011D,434,197,237
E08000032,Bradford,E01010717,Bradford 012B,435,223,212
E08000032,Bradford,E01010718,Bradford 012C,428,202,226
E08000032,Bradford,E01010719,Bradford 007A,662,314,348
E08000032,Bradford,E01010720,Bradford 009B,464,224,240
E08000032,Bradford,E01010721,Bradford 009C,534,247,287
E08000032,Bradford,E01010722,Bradford 014A,430,193,237
E08000032,Bradford,E01010723,Bradford 009D,536,271,265
E08000032,Bradford,E01010724,Bradford 009E,333,137,196
E08000032,Bradford,E01010725,Bradford 009F,322,155,167
E08000032,Bradford,E01010726,Bradford 012D,249,111,138
E08000032,Bradford,E01010727,Bradford 007B,271,119,152
E08000032,Bradford,E01010728,Bradford 007C,580,274,306
E08000032,Bradford,E01010729,Bradford 007D,408,200,208
E08000032,Bradford,E01010730,Bradford 045C,273,128,145
E08000032,Bradford,E01010731,Bradford 048A,448,206,242
E08000032,Bradford,E01010732,Bradford 048B,580,251,329
E08000032,Bradford,E01010733,Bradford 048C,454,189,265
E08000032,Bradford,E01010734,Bradford 045D,561,246,315
E08000032,Bradford,E01010735,Bradford 051A,647,298,349
E08000032,Bradford,E01010736,Bradford 048D,839,388,451
E08000032,Bradford,E01010737,Bradford 048E,553,250,303
E08000032,Bradford,E01010738,Bradford 051B,681,293,388
E08000032,Bradford,E01010739,Bradford 051C,833,321,512
E08000032,Bradford,E01010740,Bradford 051D,607,259,348
E08000032,Bradford,E01010741,Bradford 059A,257,110,147
E08000032,Bradford,E01010742,Bradford 053C,772,359,413
E08000032,Bradford,E01010743,Bradford 053D,475,206,269
E08000032,Bradford,E01010744,Bradford 051E,613,314,299
E08000032,Bradford,E01010745,Bradford 056A,650,287,363
E08000032,Bradford,E01010746,Bradford 060A,462,226,236
E08000032,Bradford,E01010747,Bradford 056B,365,177,188
E08000032,Bradford,E01010748,Bradford 056C,441,202,239
E08000032,Bradford,E01010749,Bradford 056D,331,185,146
E08000032,Bradford,E01010750,Bradford 060B,275,131,144
E08000032,Bradford,E01010751,Bradford 060C,238,101,137
E08000032,Bradford,E01010752,Bradford 058A,516,239,277
E08000032,Bradford,E01010753,Bradford 058B,222,101,121
E08000032,Bradford,E01010754,Bradford 058C,315,123,192
E08000032,Bradford,E01010755,Bradford 055B,703,357,346
E08000032,Bradford,E01010756,Bradford 058D,399,203,196
E08000032,Bradford,E01010758,Bradford 058E,276,136,140
E08000032,Bradford,E01010759,Bradford 058F,344,152,192
E08000032,Bradford,E01010760,Bradford 058G,438,203,235
E08000032,Bradford,E01010761,Bradford 049G,394,200,194
E08000032,Bradford,E01010762,Bradford 055C,415,186,229
E08000032,Bradford,E01010763,Bradford 055D,401,192,209
E08000032,Bradford,E01010764,Bradford 010C,273,117,156
E08000032,Bradford,E01010765,Bradford 010D,422,196,226
E08000032,Bradford,E01010766,Bradford 010E,223,120,103
E08000032,Bradford,E01010767,Bradford 003A,318,137,181
E08000032,Bradford,E01010768,Bradford 003B,368,158,210
E08000032,Bradford,E01010769,Bradford 003C,291,132,159
E08000032,Bradford,E01010770,Bradford 005A,428,183,245
E08000032,Bradford,E01010771,Bradford 003D,237,111,126
E08000032,Bradford,E01010772,Bradford 005B,279,136,143
E08000032,Bradford,E01010773,Bradford 005C,305,141,164
E08000032,Bradford,E01010774,Bradford 005D,284,131,153
E08000032,Bradford,E01010775,Bradford 024D,359,158,201
E08000032,Bradford,E01010776,Bradford 021A,385,193,192
E08000032,Bradford,E01010777,Bradford 021B,297,132,165
E08000032,Bradford,E01010778,Bradford 024E,571,273,298
E08000032,Bradford,E01010779,Bradford 021C,351,175,176
E08000032,Bradford,E01010781,Bradford 021D,393,186,207
E08000032,Bradford,E01010782,Bradford 020B,553,287,266
E08000032,Bradford,E01010783,Bradford 021E,317,142,175
E08000032,Bradford,E01010784,Bradford 018C,322,150,172
E08000032,Bradford,E01010785,Bradford 018D,231,115,116
E08000032,Bradford,E01010786,Bradford 018E,360,182,178
E08000032,Bradford,E01010787,Bradford 020C,306,138,168
E08000032,Bradford,E01010788,Bradford 020D,302,149,153
E08000032,Bradford,E01010789,Bradford 025A,489,209,280
E08000032,Bradford,E01010790,Bradford 018F,377,182,195
E08000032,Bradford,E01010791,Bradford 025B,488,217,271
E08000032,Bradford,E01010792,Bradford 025C,613,274,339
E08000032,Bradford,E01010793,Bradford 025D,520,219,301
E08000032,Bradford,E01010794,Bradford 043A,449,190,259
E08000032,Bradford,E01010795,Bradford 043B,441,203,238
E08000032,Bradford,E01010796,Bradford 043C,406,190,216
E08000032,Bradford,E01010797,Bradford 043D,291,117,174
E08000032,Bradford,E01010798,Bradford 043E,317,141,176
E08000032,Bradford,E01010799,Bradford 036C,413,199,214
E08000032,Bradford,E01010800,Bradford 036D,606,276,330
E08000032,Bradford,E01010801,Bradford 036E,606,290,316
E08000032,Bradford,E01010802,Bradford 036F,663,315,348
E08000032,Bradford,E01010803,Bradford 037A,620,323,297
E08000032,Bradford,E01010804,Bradford 033A,633,286,347
E08000032,Bradford,E01010805,Bradford 030D,526,243,283
E08000032,Bradford,E01010806,Bradford 033B,487,232,255
E08000032,Bradford,E01010807,Bradford 033C,586,257,329
E08000032,Bradford,E01010808,Bradford 033D,805,374,431
E08000032,Bradford,E01010809,Bradford 033E,610,285,325
E08000032,Bradford,E01010810,Bradford 037B,703,318,385
E08000032,Bradford,E01010811,Bradford 037C,794,370,424
E08000032,Bradford,E01010812,Bradford 041B,729,311,418
E08000032,Bradford,E01010813,Bradford 037D,634,312,322
E08000032,Bradford,E01010814,Bradford 057A,343,173,170
E08000032,Bradford,E01010815,Bradford 057B,747,351,396
E08000032,Bradford,E01010816,Bradford 057C,393,162,231
E08000032,Bradford,E01010817,Bradford 057D,851,383,468
E08000032,Bradford,E01010818,Bradford 057E,505,207,298
E08000032,Bradford,E01010819,Bradford 052B,444,198,246
E08000032,Bradford,E01010820,Bradford 052C,390,192,198
E08000032,Bradford,E01010821,Bradford 052D,664,328,336
E08000032,Bradford,E01010822,Bradford 052E,379,148,231
E08000032,Bradford,E01010824,Bradford 034C,511,242,269
E08000032,Bradford,E01010825,Bradford 032C,418,197,221
E08000032,Bradford,E01010826,Bradford 027D,661,311,350
E08000032,Bradford,E01010827,Bradford 032D,477,191,286
E08000032,Bradford,E01010828,Bradford 035A,403,198,205
E08000032,Bradford,E01010829,Bradford 035B,522,229,293
E08000032,Bradford,E01010830,Bradford 035C,880,414,466
E08000032,Bradford,E01010831,Bradford 035D,704,305,399
E08000032,Bradford,E01010832,Bradford 035E,830,398,432
E08000032,Bradford,E01010833,Bradford 041C,494,218,276
E08000032,Bradford,E01010834,Bradford 044A,292,139,153
E08000032,Bradford,E01010836,Bradford 044C,575,261,314
E08000032,Bradford,E01010837,Bradford 044D,646,300,346
E08000032,Bradford,E01010838,Bradford 044E,795,369,426
E08000032,Bradford,E01010839,Bradford 044F,519,254,265
E08000032,Bradford,E01010840,Bradford 034D,588,274,314
E08000032,Bradford,E01010841,Bradford 034E,496,237,259
E08000032,Bradford,E01010842,Bradford 065A,768,323,445
E08000032,Bradford,E01010843,Bradford 041D,652,296,356
E08000032,Bradford,E01010845,Bradford 059B,641,310,331
E08000032,Bradford,E01010846,Bradford 055E,516,240,276
E08000032,Bradford,E01010847,Bradford 054A,393,173,220
E08000032,Bradford,E01010848,Bradford 054B,373,180,193
E08000032,Bradford,E01010849,Bradford 059C,292,139,153
E08000032,Bradford,E01010850,Bradford 059D,487,227,260
E08000032,Bradford,E01010851,Bradford 059E,301,126,175
E08000032,Bradford,E01010852,Bradford 054C,585,317,268
E08000032,Bradford,E01010853,Bradford 054D,428,194,234
E08000032,Bradford,E01010854,Bradford 023A,318,145,173
E08000032,Bradford,E01010855,Bradford 023B,240,92,148
E08000032,Bradford,E01010856,Bradford 023C,258,127,131
E08000032,Bradford,E01010857,Bradford 023D,265,135,130
E08000032,Bradford,E01010858,Bradford 023E,293,131,162
E08000032,Bradford,E01010859,Bradford 012E,377,188,189
E08000032,Bradford,E01010860,Bradford 014B,342,140,202
E08000032,Bradford,E01010861,Bradford 023F,317,136,181
E08000032,Bradford,E01010862,Bradford 014C,319,152,167
E08000032,Bradford,E01010863,Bradford 014D,291,141,150
E08000032,Bradford,E01010864,Bradford 059F,302,136,166
E08000032,Bradford,E01010865,Bradford 060D,303,152,151
E08000032,Bradford,E01010866,Bradford 060E,233,96,137
E08000032,Bradford,E01010867,Bradford 059G,500,218,282
E08000032,Bradford,E01010868,Bradford 061A,441,208,233
E08000032,Bradford,E01010869,Bradford 061B,418,200,218
E08000032,Bradford,E01010870,Bradford 061C,248,125,123
E08000032,Bradford,E01010871,Bradford 061D,316,138,178
E08000032,Bradford,E01010872,Bradford 061E,580,292,288
E08000032,Bradford,E01010873,Bradford 061F,238,110,128
E08000032,Bradford,E01010874,Bradford 059H,419,190,229
E08000032,Bradford,E01033689,Bradford 020E,140,67,73
E08000032,Bradford,E01033690,Bradford 065C,291,163,128
E08000032,Bradford,E01033691,Bradford 065B,575,268,307
E08000032,Bradford,E01033692,Bradford 064D,218,116,102
E08000032,Bradford,E01033693,Bradford 064A,827,359,468
E08000032,Bradford,E01033694,Bradford 020F,182,78,104
E08000032,Bradford,E01033695,Bradford 049H,605,312,293
E08000032,Bradford,E01033696,Bradford 049I,313,147,166
E08000032,Bradford,E01033697,Bradford 049J,873,406,467
E08000032,Bradford,E01033898,Bradford 030E,576,262,314
E08000032,Bradford,E01033899,Bradford 030F,781,393,388
E08000032,Bradford,E01033900,Bradford 044G,529,241,288
E08000032,Bradford,E01033901,Bradford 044H,536,236,300
